addressRegion,latitude,longitude,price,property-beds,property-baths,property-sqft,Acreage,Basement,Bath,Exterior,Exterior Features,Features,Fireplace,Heating,Partial Bathroom,Property Type,Roof,Sewer,Square Footage,Subdivision,Type,Parking,Flooring,Parking Features,Fireplace Features,MLS,has_fireplace,has_garage,dist_to_toronto_km,region_median_price
0,53.4413302,-113.444515,485000.0,4.0,2.0,,0.6,104,1.0,709,709,806,281,285,1.0,8,10,38,1415.0,1115,8,716,1576,716,494,E4421742,1,1,2696.314030083047,459700.0
1,49.98087,-125.239777,859000.0,4.0,3.0,1260.0,0.19,15,1.0,2226,2226,863,155,79,1.0,8,4,60,1260.0,1115,8,773,1576,773,239,988276,1,1,3498.5141300938853,749945.0
0,52.221797,-111.909955,230000.0,4.0,2.0,1056.0,0.21,104,1.0,939,939,1159,281,433,1.0,8,5,36,1056.0,1115,8,1027,140,1027,494,A2194857,1,0,2572.891697017525,459700.0
0,52.2782611,-113.7505506,699900.0,4.0,4.0,2158.0,0.17,54,1.0,76,76,730,114,240,1.0,8,5,38,2158.0,1577,8,640,42,640,165,A2187092,1,1,2697.89082041203,459700.0
0,50.92017823,-114.0769599,484000.0,2.0,2.0,,0.07,382,1.0,279,279,730,110,263,1.0,9,5,38,1415.0,1085,9,640,88,640,157,A2193250,1,1,2706.4944007350205,459700.0
0,53.396893,-113.584213,499900.0,3.0,3.0,,0.6,114,1.0,25,25,730,281,285,1.0,8,10,38,1415.0,1115,8,640,1576,640,494,E4421741,1,1,2704.612602622719,459700.0
0,52.2364904,-113.76851,595900.0,4.0,3.0,,0.13,54,1.0,996,996,730,95,490,1.0,8,5,38,1415.0,953,8,640,31,640,135,A2194302,1,1,2698.55017476977,459700.0
0,51.0947847,-114.2121124,615000.0,3.0,0.0,,0.14,382,1.0,2226,2226,2378,281,328,1.0,8,112,38,1415.0,498,8,2159,1576,2159,494,A2194804,1,0,2717.2000102459738,459700.0
0,49.6905934,-112.7932236,1379000.0,3.0,3.0,1875.0,0.32,54,1.0,996,996,1383,114,488,1.0,8,5,38,1875.0,904,8,1205,55,1205,165,A2194758,1,1,2608.7947698707935,459700.0
0,53.096919,-111.773581,169000.0,2.0,2.0,,0.6,104,1.0,178,178,1122,281,285,1.0,8,10,38,1415.0,1115,8,991,1576,991,494,E4421740,1,1,2580.155530696819,459700.0
0,53.427209,-113.437666,205555.0,2.0,1.0,,0.6,382,1.0,19,19,1339,281,285,1.0,2,112,38,1415.0,1115,2,1188,1576,1188,494,E4421739,1,0,2695.6008534971525,459700.0
1,49.2868444,-123.1241525,1798000.0,2.0,3.0,1183.0,0.6,382,1.0,2226,2226,1017,281,241,1.0,1,112,38,1183.0,620,1,907,1576,907,494,R2967153,1,1,3355.5934485497537,749945.0
0,51.05718768,-114.1345779,415900.0,1.0,1.0,,0.6,382,1.0,280,280,1378,281,263,1.0,1,112,38,1415.0,1205,1,1201,21,1201,494,A2194934,1,0,2711.5130667511366,459700.0
0,51.040985,-114.1248605,1299999.0,5.0,4.0,2425.0,0.1,54,1.0,94,94,247,115,263,1.0,8,5,38,2425.0,1395,8,245,55,245,166,A2194504,1,1,2710.714213812295,459700.0
0,51.0202097,-114.1849632,749000.0,3.0,3.0,,0.08,54,1.0,831,831,802,47,240,1.0,8,5,38,1415.0,1403,8,712,13,712,50,A2194910,1,1,2714.755285017953,459700.0
0,50.70706653,-113.9713623,289900.0,2.0,2.0,846.0,0.6,382,1.0,108,108,120,115,1,1.0,1,112,38,846.0,605,1,120,61,120,166,A2194952,1,0,2697.6724122816468,459700.0
1,49.2058351,-122.6622935,950000.0,3.0,2.0,2107.0,0.17,382,1.0,2226,2226,1011,1,164,1.0,8,112,38,2107.0,1453,8,901,1576,901,1,R2965594,1,1,3323.2278373406384,749945.0
0,53.423829,-113.602626,249000.0,1.0,1.0,,0.6,382,1.0,617,617,1334,281,285,1.0,9,10,38,1415.0,1115,9,1183,1576,1183,494,E4421738,1,1,2706.312854178619,459700.0
0,49.9988883,-110.68043,535000.0,5.0,3.0,1430.0,0.15,54,1.0,798,798,730,63,240,1.0,8,5,38,1430.0,1353,8,640,48,640,75,A2194503,1,1,2459.4346932575418,459700.0
1,49.3506072,-124.3829928,1198500.0,3.0,2.0,1886.0,0.13,15,1.0,379,379,223,155,188,1.0,8,5,62,1886.0,720,8,223,55,223,135,987557,1,1,3445.422527382069,749945.0
0,53.404109,-113.613509,489900.0,3.0,3.0,,0.6,114,1.0,848,848,730,281,285,1.0,3,10,38,1415.0,1115,3,640,1576,640,494,E4421737,1,1,2706.6607733457795,459700.0
0,51.04197469,-114.0731818,489000.0,2.0,2.0,1044.0,0.6,382,1.0,279,279,1230,281,225,1.0,1,112,38,1044.0,477,1,1096,411,1096,494,A2194847,1,0,2707.116747593332,459700.0
0,51.02243,-114.1087931,302888.0,1.0,1.0,484.0,0.6,382,1.0,902,902,1339,281,240,1.0,1,112,38,484.0,397,1,1188,245,1188,494,A2193641,1,0,2709.455412271831,459700.0
0,51.0163928,-114.0759729,3299000.0,4.0,5.0,,0.14,54,1.0,939,939,1385,95,263,1.0,8,5,38,1415.0,771,8,1207,13,1207,135,A2194950,1,1,2707.1200683370307,459700.0
0,50.8620511,-114.0232758,324900.0,2.0,2.0,,0.6,382,1.0,624,624,1378,281,1,1.0,1,112,38,1415.0,1014,1,1201,84,1201,494,A2192007,1,0,2702.333205852365,459700.0
0,52.2422196,-113.7864288,890000.0,3.0,4.0,2305.0,0.17,67,1.0,634,634,1383,84,491,1.0,8,64,38,2305.0,401,8,1205,55,1205,108,A2194693,1,1,2699.8371220729327,459700.0
1,49.192983,-122.8499985,619000.0,2.0,2.0,803.0,0.6,382,1.0,2226,2226,950,281,362,1.0,1,112,38,803.0,1690,1,840,1576,840,494,R2966431,1,1,3336.9406969152737,749945.0
0,53.516961,-113.690474,379900.0,3.0,3.0,,0.6,382,1.0,896,896,1334,281,285,1.0,2,112,38,1415.0,1115,2,1183,1576,1183,494,E4421729,1,1,2713.776523440371,459700.0
0,51.1650934,-113.9438115,409500.0,2.0,3.0,1131.0,0.6,382,1.0,76,76,1334,281,240,1.0,9,5,38,1131.0,641,9,1183,88,1183,494,A2194616,1,1,2699.081086941425,459700.0
0,53.880038,-114.215347,725000.0,3.0,3.0,,1.29,102,1.0,209,209,431,155,285,1.0,8,112,4,1415.0,1115,8,2159,128,2159,494,E4421735,1,0,2754.6980927918908,459700.0
0,51.062183,-113.9243775,539999.0,3.0,2.0,1239.0,0.07,54,1.0,788,788,1159,281,263,1.0,8,5,38,1239.0,380,8,1027,61,1027,494,A2194955,1,0,2696.89634049789,459700.0
0,51.1633148,-113.9553631,299900.0,2.0,2.0,,0.6,382,1.0,939,939,1077,281,1,1.0,1,112,38,1415.0,1413,1,959,235,959,494,A2194733,1,1,2699.8696269007214,459700.0
1,49.1659693,-122.5928148,3750000.0,6.0,6.0,6606.0,0.24,382,1.0,2226,2226,1014,2,263,1.0,8,112,38,6606.0,812,8,904,1576,904,2,R2966713,1,1,3318.6775467409066,749945.0
0,55.1387749,-118.7730331,227000.0,3.0,1.0,1003.0,0.08,114,1.0,996,996,1236,281,263,1.0,3,5,38,1003.0,649,3,1102,64,1102,494,A2194886,1,0,3067.038385849202,459700.0
0,51.2773063,-114.0047724,550000.0,4.0,3.0,,0.15,60,1.0,2226,2226,802,95,263,1.0,8,5,38,1415.0,1485,8,712,61,712,135,A2194665,1,1,2704.265090589289,459700.0
0,53.621162,-113.640718,294500.0,3.0,2.0,,0.6,382,1.0,727,727,1334,281,285,1.0,2,112,38,1415.0,1115,2,1183,1576,1183,494,E4421734,1,1,2712.514735788156,459700.0
0,51.04198509,-114.0595102,309000.0,1.0,1.0,,0.6,382,1.0,1129,1129,1228,281,240,1.0,1,112,38,1415.0,477,1,1094,13,1094,494,A2192332,1,0,2706.163197953335,459700.0
0,51.0751668,-113.9372962,269900.0,2.0,2.0,,0.6,382,1.0,332,332,1339,95,1,1.0,1,112,38,1415.0,1225,1,1188,8,1188,135,A2191227,1,0,2697.8992462345177,459700.0
0,49.7192274,-113.4028476,375000.0,3.0,2.0,827.0,0.15,54,1.0,831,831,510,281,263,1.0,8,5,38,827.0,1115,8,450,498,450,494,A2188647,1,1,2652.7096625624663,459700.0
0,53.457947,-113.529657,114900.0,1.0,1.0,,0.6,382,1.0,974,974,1339,281,445,1.0,1,112,38,1415.0,1115,1,1188,1576,1188,494,E4421733,1,0,2702.1834493405704,459700.0
0,49.6570725,-112.8619537,529000.0,4.0,3.0,1486.0,0.11,54,1.0,996,996,730,115,263,1.0,8,5,38,1486.0,1324,8,640,64,640,166,A2193152,1,1,2613.6172108988803,459700.0
0,53.457401,-113.656306,530000.0,4.0,4.0,,0.6,382,1.0,170,170,802,281,291,1.0,2,112,38,1415.0,1115,2,712,1576,712,494,E4421732,1,1,2710.439716292736,459700.0
0,53.579363,-113.266469,719900.0,3.0,3.0,,0.6,114,1.0,639,639,730,281,285,1.0,8,10,38,1415.0,1115,8,640,1576,640,494,E4421731,1,1,2687.38763129131,459700.0
0,55.19123242,-118.8027099,325000.0,2.0,2.0,1106.0,0.6,382,1.0,2226,2226,1386,281,1,1.0,1,112,38,1106.0,1158,1,1208,411,1208,494,A2194922,1,0,3069.7110244712335,459700.0
1,49.1875094,-123.9907192,529900.0,2.0,2.0,1070.0,0.6,382,1.0,340,340,236,155,79,1.0,1,112,60,1070.0,1587,1,236,514,236,75,988209,1,0,3419.3601749326904,749945.0
0,50.8897717,-114.0399111,699900.0,4.0,4.0,1797.0,0.09,54,1.0,76,76,730,63,263,1.0,8,0,38,1797.0,587,8,640,658,640,75,A2191908,1,1,2703.689427685871,459700.0
1,50.116746,-125.035334,1325000.0,3.0,2.0,1976.0,14.43,382,1.0,69,69,221,155,123,1.0,8,41,45,1976.0,1115,8,221,401,221,238,987668,1,0,3482.355364036164,749945.0
0,53.589724,-113.480279,319900.0,3.0,1.0,,0.6,125,1.0,171,171,832,281,285,1.0,8,10,38,1415.0,1115,8,742,1576,742,494,E4421730,1,1,2701.4831511822854,459700.0
0,50.70704319,-113.8735444,1290000.0,5.0,3.0,1834.0,3.03,54,1.0,91,91,873,95,263,1.0,8,5,43,1834.0,1290,8,783,55,783,135,A2194250,1,1,2690.7953758708445,459700.0
0,51.03004025,-114.0681454,255000.0,1.0,1.0,672.0,0.6,382,1.0,328,328,306,281,77,1.0,1,112,38,672.0,1087,1,297,8,297,494,A2194951,1,0,2706.675662778733,459700.0
10,52.4479812,-109.1597895,219900.0,4.0,2.0,1268.0,0.21,85,1.0,425,425,80,151,263,1.0,8,10,38,1268.0,1115,8,80,1576,80,230,SK995934,1,0,2393.5451528467356,245000.0
0,50.8773565,-113.9987305,959000.0,4.0,4.0,2121.0,0.09,54,1.0,2226,2226,730,63,240,1.0,8,5,38,2121.0,1719,8,640,55,640,75,A2187643,1,1,2700.7198264251415,459700.0
